timestamp,Target1,Target2,Target3,Target4,Target5,Target6,Target7,Target8,Target9,Target10
1424622601000,657284,553245,606995,1000000,414568,423437,414554,1183128,867650,291687
1424623501000,657684,553765,608116,1000000,415694,424673,415979,1185599,870312,292320
1424624401000,658376,554603,609446,1000000,416340,426001,417611,1188670,873325,292972
1424625301000,658760,555295,610365,1000000,416906,426778,418548,1190893,875122,293348
1424626201000,659022,555939,611289,1000000,417242,427412,419289,1192665,876460,293693
1424627101000,659406,556532,612195,1000000,418018,427740,419656,1193837,877579,293943
1424628001000,659406,556532,612195,1000000,418018,427740,419656,1193837,877579,293943
1424628901000,660150,557042,612885,1000000,418287,428225,420090,1195348,878669,294193
1424629801000,661535,557813,613744,1000000,418799,428789,420801,1196699,879743,294468
1424631601000,663454,558937,614816,1000000,419626,429370,421581,1198424,881168,294807
1424632501000,664190,559326,615346,1000000,420181,429759,421911,1199187,882046,295053
1424634301000,664810,559828,616468,1000000,420637,430050,422643,1200303,883249,295454
1424635201000,665033,560014,616919,1000000,420880,430179,422914,1200899,883685,295636
1424637001000,665238,560412,617908,1000000,421682,430593,423377,1201798,884501,295965
1424637901000,665533,560695,618514,1000000,422197,430952,423687,1202555,884960,296286
1424638801000,665773,560989,619001,1000000,422483,431064,424042,1203182,885383,296436
1424639701000,665773,560989,619001,1000000,422483,431064,424042,1203182,885383,296436
1424640601000,665921,561323,619513,1000000,422878,431187,424360,1203896,885670,296600
1424641501000,666133,561536,619932,1000000,423057,431312,424638,1204788,886040,296735
1424642401000,666195,561651,620298,1000000,423275,431402,424808,1205364,886250,296812
1424643301000,666246,561708,620733,1000000,423436,431478,424985,1205883,886484,296935
1424644201000,666330,561778,621172,1000000,423659,431585,425183,1206610,886638,297039
1424645101000,666549,561892,621824,1000000,423885,431690,425286,1207260,886829,297230
1424646001000,667001,562105,622665,1000000,424168,431898,425519,1208191,887122,297394
1424646901000,667212,562280,623185,1000000,424345,432076,425693,1208909,887357,297556
1424647801000,667387,562506,623879,1000000,424545,432230,425919,1209626,887588,297647
1424648701000,667617,562608,624657,1000000,424798,432482,426134,1210041,887887,297826
1424649601000,667770,562982,625416,1000000,425125,432953,426619,1211188,888289,298114
1424650501000,668128,563381,625909,1000000,425449,433321,426875,1211902,888621,298337
1424651401000,668602,563789,626439,1000000,425756,433639,427182,1212753,888902,298583
1424652301000,668602,563789,626439,1000000,425756,433639,427182,1212753,888902,298583
1424653201000,668981,564158,627045,1000000,426160,433880,427881,1213568,889304,298766
1424654101000,669493,564432,627581,1000000,426795,434143,428433,1214719,889887,298967
1424655001000,670011,564977,628575,1000000,427294,434571,429012,1216061,890501,299188
1424655901000,670444,565732,629365,1000000,427737,434921,429675,1217321,891198,299352
1424656801000,671220,566539,630459,1000000,428381,435315,430609,1219065,892112,299625
1424657701000,671413,567320,631487,1000000,428984,435782,431481,1219963,892768,299889
1424658601000,671787,568015,632316,1000000,429387,436258,432214,1221041,893694,300226
1424659501000,672233,568807,633151,1000000,429818,436720,432650,1222197,894492,300599
1424660401000,672692,569718,634153,1000000,430357,437123,432965,1223298,895248,300950
1424661301000,673321,570810,635210,1000000,431093,437761,433454,1224699,896369,301579
1424662201000,674020,571801,635991,1000000,431611,438285,434255,1225721,896978,301934
1424663101000,674980,572582,636896,1000000,431969,438846,434974,1226913,897612,302285
1424664001000,674980,572582,636896,1000000,431969,438846,434974,1226913,897612,302285
1424664901000,676188,573454,637970,1000000,432423,439329,435668,1228061,898327,302638
1424665802000,677670,574271,638988,1000000,433074,439721,436532,1229158,899056,303007
1424666701000,679459,575165,640268,1000000,433920,440261,437934,1230714,900208,303564
1424667601000,680575,575951,641541,1000000,434298,440749,438808,1231894,900987,303848
1424668501000,682686,576912,642781,1000000,434815,441350,440060,1233229,902011,304176
1424669401000,684434,578083,643514,1000000,435271,442146,441431,1234513,903085,304583
1424670301000,685861,579213,645666,1000000,436591,443306,443217,1236232,904519,305264
1424671201000,686718,580451,646661,1000000,437421,444047,444523,1237722,905468,305719
1424672101000,687658,582155,648167,1000000,438314,444756,445661,1239459,906796,306004
1424673001000,688577,583446,649404,1000000,439052,445466,447226,1240812,907802,306587
1424673901000,689813,584609,650900,1000000,439824,446605,448912,1242560,909033,307311
1424674801000,691115,585444,652378,1000000,441330,447535,449905,1244027,909983,307897
1424675701000,692250,586226,653702,1000000,442152,448473,450999,1245474,911149,308549
1424676601000,692250,586226,653702,1000000,442152,448473,450999,1245474,911149,308549
1424677501000,693455,587255,654964,1000000,443197,449312,452283,1247100,912242,309238
1424678401000,694641,588392,656483,1000000,444656,450276,453517,1248109,913444,309869
1424679301000,696035,590021,658396,1000000,446542,451635,455377,1250475,915262,310652
1424680201000,697194,591021,659858,1000000,447552,452394,456642,1252569,916469,311278
1424681101000,698777,592498,661390,1000000,448443,453161,457943,1254324,917723,311961
1424682001000,700108,594163,663190,1000000,449149,453961,459020,1256095,918745,312582
1424682901000,701540,595445,664597,1000000,450109,454653,460067,1257917,919654,313147
1424683801000,702626,596134,665869,1000000,451369,455297,460967,1259811,920619,313679
1424684701000,704149,597409,667567,1000000,452525,456265,461990,1262157,921842,314609
1424685601000,705336,598515,668861,1000000,453623,456899,462724,1263890,922826,315326
1424686502000,706462,600128,670118,1000000,454508,457846,463422,1265550,923852,315996
1424687401000,707456,601898,671336,1000000,455901,459064,464422,1267416,924625,316674
1424688301000,708920,604013,673030,1000000,457492,460571,466026,1270267,925907,317647
1424689201000,710153,605335,674433,1000000,458598,461812,467369,1272693,927072,318473
1424690101000,711738,606646,676359,1000000,459846,463081,468707,1275589,928376,319382
1424691001000,711738,606646,676359,1000000,459846,463081,468707,1275589,928376,319382
1424691901000,713546,608212,678412,1000000,461618,464347,470481,1278518,929982,320389
1424692801000,716164,609872,680559,1000000,464564,465897,472272,1281853,931057,321684
1424693701000,719064,611653,682836,1000000,467338,467680,474478,1285783,933568,323023
1424694601000,722610,614007,685465,1000000,470336,469378,477092,1290334,935655,324604
1424695501000,727093,617796,689752,1000000,474026,471862,481784,1296804,939137,326392
1424696401000,731005,621558,693249,1000000,477564,474134,486317,1302373,942660,329162
1424697301000,735968,625243,696472,1000000,480992,476964,491031,1309019,946234,331496
1424698201000,740156,629300,699739,1000000,484143,480156,495890,1315391,950186,333733
1424699101000,744453,633410,703158,1000000,488177,483991,500985,1321984,954644,336525
1424700001000,748641,637410,707585,1000000,494433,489520,506993,1331901,961020,340179
1424700901000,751378,640527,710875,1000000,498659,494093,512443,1339704,965971,342966
1424701801000,754038,644735,714131,1000000,501564,498636,516728,1347138,971011,345544
1424702701000,757752,648767,717636,1000000,504435,502524,520634,1353909,976372,347947
1424703601000,757752,648767,717636,1000000,504435,502524,520634,1353909,976372,347947
1424704501000,761771,652965,722329,1000000,507910,507796,524558,1362907,982135,350431
1424705401000,764415,655278,724495,1000000,510684,511076,529044,1368986,985930,352495
1424706301000,766527,656825,726668,1000000,513021,513809,532165,1374934,989202,354148
1424707201000,768655,658120,728601,1000000,515418,515593,534693,1379616,991880,355806
1424708101000,770618,659812,731422,1000000,517903,517246,537365,1385318,994817,357988
1424709001000,772061,660923,733506,1000000,520026,517972,539171,1389201,996800,359283
1424709901000,773508,661769,734843,1000000,521967,519464,540729,1392166,998316,360219
1424710801000,774781,662586,735927,1000000,523250,520641,542107,1394710,999800,361216
1424711701000,776199,663503,736948,1000000,524442,521756,542902,1396948,1001124,362122
1424712601000,777355,664595,738094,1000000,525876,523040,543613,1399501,1002719,363239
1424713501000,778049,665269,738828,1000000,527120,523783,544149,1401317,1003403,363785
1424714401000,778596,665733,739378,1000000,527791,524319,544652,1402891,1004278,364384
1424715301000,779273,666146,740051,1000000,528132,524827,545195,1404197,1004818,364702
1424716201000,779950,666555,740593,1000000,528723,525281,545786,1405303,1005322,364843
1424717101000,779950,666555,740593,1000000,528723,525281,545786,1405303,1005322,364843
1424718001000,780929,667097,741571,1000000,529122,525870,546609,1406353,1005847,365008
1424718901000,781360,667304,742054,1000000,529336,526251,547279,1407280,1006243,365125
1424719801000,781602,667567,742457,1000000,529463,526646,547823,1407964,1006628,365400
1424720701000,781791,667794,742963,1000000,529618,526874,548310,1408666,1006943,365650
1424721601000,782022,668082,743461,1000000,529840,527124,548788,1409555,1007457,365962
1424722501000,782232,668295,743959,1000000,530176,527423,548995,1410276,1007745,366118
1424723401000,782461,668448,744361,1000000,530333,527778,549177,1411196,1008048,366298
1424724301000,782644,668550,745005,1000000,530445,528040,549458,1412026,1008338,366471
